School,Latitude,Longitude,Overall_Grade_Numeric,Overall_Grade_Letter,Curriculum ,Research,Community_Engagement,Support_for_Student_Led_Initiatives,Sustainability,Link,
University College Cork School of Medicine,51.89379055,-8.492692775,49.28,C,D,C+,C-,C,B+,https://phjrc.files.wordpress.com/2021/04/university-college-cork-ucc-2021-phrc-edit-oln.pdf,
University College Dublin School of Medicine,53.31326828,-6.226003623,35.74,D+,C-,D+,F+,D,C,https://phjrc.files.wordpress.com/2021/04/university-college-dublin-ucd-2021-phrc-edit-oln.pdf,
University College London Medical School,51.52457253,-0.13387917,63.74,B-,B,C+,D-,B,A+,https://phjrc.files.wordpress.com/2021/04/ucl-phrc-2021.pdf,
University of Aberdeen School of Medicine and Dentistry,57.15677846,-2.13398834,60.37,B-,C+,C,B,C+,B,https://phjrc.files.wordpress.com/2021/04/university-of-aberdeen-2021-phrc.docx.pdf,
University of Arkansas for Medical Sciences,34.74890326,-92.3206901,50.42,C,B,D,B-,C,F+,https://phjrc.files.wordpress.com/2021/04/uams-2021-planetary-health-report-card-1.pdf,
University of Birmingham Medical School,52.45232849,-1.938041463,45.41,C,D-,B,F,C+,B,https://phjrc.files.wordpress.com/2021/04/university-of-birmingham-phrc.pdf,
University of Bristol Medical School,51.45851797,-2.602938451,49.36,C,D+,C+,C,B-,C,https://phjrc.files.wordpress.com/2021/04/bristol-mb16-2021-phrc.docx.pdf,"There are two links, first for MB16, and second for MB21: https://phjrc.files.wordpress.com/2021/04/bristol-mb21-phrc-2021.docx-5.pdf"
University of California San Francisco School of Medicine,37.76249321,-122.4589252,79,B+,B,A+,B,A-,B+,https://phjrc.files.wordpress.com/2021/04/ucsf-2021-planetary-health-report-card-template-2.pdf,
University of Cambridge School of Clinical Medicine,52.17638835,0.14139384,39.67,C-,C,D+,F,C,C,https://phjrc.files.wordpress.com/2021/04/cambridge-phrc-2021.pdf,
University of Dundee School of Medicine,56.4648814,-3.038410282,47.95,C,C+,B,F+,C,C-,https://phjrc.files.wordpress.com/2021/04/dundee-phrc-2021-1.pdf,
University of Edinburgh Medical School,55.92229033,-3.139230591,57.85,C+,C,B,C,B-,B+,https://phjrc.files.wordpress.com/2021/04/edinburgh-2021-planetary-health-report-card.pdf,
University of Exeter Medical School,50.72392647,-3.51555122,62.81,B-,B-,A+,D,C,A-,https://phjrc.files.wordpress.com/2021/04/university-of-exeter-phrc-2020_21.pdf,
"The University of Glasgow School of Medicine, Dentistry, and Nursing",55.8723792,-4.290284318,40.51,C-,D,C+,F+,B-,C,https://phjrc.files.wordpress.com/2021/04/glasgow-2021-phrc.pdf,
John A. Burns School of Medicine at the University of Hawai'i,21.29668493,-157.8633937,48.54,C,C-,C,C-,C,C,https://phjrc.files.wordpress.com/2021/04/2021-jabsom-phrc.pdf,
University of Manchester School of Medical Sciences,53.46715804,-2.233848234,42.31,C-,F+,C+,D,D+,A+,https://phjrc.files.wordpress.com/2021/04/manchester-2021-planetary-health-report-card.pdf,
University of Massachusetts Medical School,42.27861636,-71.76333999,56.4,C+,B-,D,B-,B,C+,https://phjrc.files.wordpress.com/2021/04/umms-2021-planetary-health-report-card-template.pdf,
University of Minnesota Medical School,44.97269428,-93.23348713,44.25,C-,C-,C-,F,B,C+,https://phjrc.files.wordpress.com/2021/04/university-of-minnesota-2021-planetary-health-report-card.docx-google-docs.pdf,
University of North Carolina School of Medicine,35.90631645,-79.0523577,48.28,C,C-,B+,D,B-,D,https://phjrc.files.wordpress.com/2021/04/unc-2021.pdf,
University of Nottingham Medical School,52.94233136,-1.186109945,50.1,C,C,C,F+,B-,B+,https://phjrc.files.wordpress.com/2021/04/nottingham-planetary-health-report-card-2021.pdf,
Oxford University Medical School,51.75480974,-1.254484819,44.32,C-,C-,B-,F,C+,C+,https://phjrc.files.wordpress.com/2021/04/oxford-2021-phrc-final.pdf,
University of Rochester School of Medicine and Dentistry,43.12330087,-77.62696176,42.34,C-,C-,D+,D+,B-,C-,https://phjrc.files.wordpress.com/2021/04/rochester-final-report-card-2021.pdf,
University of Sheffield Medical School,53.37795668,-1.494214631,48.17,C,C+,C,C-,C-,C,https://phjrc.files.wordpress.com/2021/04/sheffield-university-phrc-2021.docx.pdf,
University of Utah School of Medicine,40.77002189,-111.8357485,44.98,C-,C-,C-,D+,B-,C,https://phjrc.files.wordpress.com/2021/04/phrc-final-uusom.pdf,
University of Virginia School of Medicine,38.0326104,-78.49890959,50.48,C,D-,B-,D+,B,B,https://phjrc.files.wordpress.com/2021/04/university-of-virginia-2021.pdf,
University of Washington School of Medicine (WWAMI Program Bozeman Track),47.65069451,-122.3093688,59.63,B-,D,A-,B,B-,B,https://phjrc.files.wordpress.com/2021/04/university-of-washington-2021.pdf,
Perelman School of Medicine at the University of Pennsylvania,39.94789931,-75.192598,69.9,B,C+,A-,B,B,B+,https://phjrc.files.wordpress.com/2021/04/psom-2021-planetary-health-report-card.pdf,
Virginia Commonwealth University School of Medicine,37.53993486,-77.43025527,27.49,D,F,D,D,C,D+,https://phjrc.files.wordpress.com/2021/04/vcu-2021-planetary-health-report-card.pdf,
Warwick Medical School,52.37450648,-1.550600245,32.64,D,D,D+,F+,D,C,https://phjrc.files.wordpress.com/2021/04/warwick-medical-school-phrc.pdf,
